Family name	Common root gene symbol
Bisphosphoglycerate phosphatases	
HAD Asp-based phosphatases	
Golgins	
MCM family	MCM
MADS box family	
LEM domain containing	LEMD
Spindlin family	SPIN
Atypical chemokine receptors	ACKR
C-C motif chemokine receptors	CCR
X-C motif chemokine receptors	XCR
C-X-3-C motif chemokine receptors	CX3CR
C-X-C motif chemokine receptors	CXCR
EPH receptors	EPH
Erb-b2 receptor tyrosine kinases	ERBB
Myosin heavy chains, class I	MYO1
Myosin heavy chains, class II	MYH
Myosin heavy chains, class III	MYO3
Myosin heavy chains, class V	MYO5
Myosin heavy chains, class VI	MYO6
Myosin heavy chains, class VII	MYO7
Myosin heavy chains, class IX	MYO9
Myosin heavy chains, class X	MYO10
Myosin heavy chains, class XV	MYO15
Myosin heavy chains, class XVI	MYO16
Myosin heavy chains, class XVIII	MYO18
Myosin heavy chains, class XIX	MYO19
Keratins	KRT
Schlafen family	SLFN
ESCRT complexes	
Actinins	ACTN
Spectrins	SPT
Flotillins	FLOT
ESCRT-0	
ESCRT-I	
ESCRT-II	
ESCRT-III	
ESCRT-III associated factors	
ESCRT-IV	
Eukaryotic translation initiation factor 3	EIF3
BBSome	
SNAREs	
Xeroderma pigmentosum complementation groups	XP
Phospholipid phosphatase superfamily	
Phospholipid phosphatase related	PLPPR
Yippee like family	YPEL
Gemins	GEMIN
N-acetyltransferases	NAT
Arylamine N-acetyltransferases	
GCN5 related N-acetyltransferases	
Transmembrane channel like family	TMC
MAGE family	MAGE
Stathmins	STMN
BAG cochaperones	BAG
Tropomodulins	TMOD
Pentraxins	PTX
Long pentraxins	
Short pentraxins	
YIP family	
AF4/FMR2 family	AFF
GRAM domain containing	GRAM
PWWP domain containing	PWWP
NADH:ubiquinone oxidoreductase core subunits	NDUF, MT-ND
NADH:ubiquinone oxidoreductase supernumerary subunits	NDUF
Phosphatidylinositol transfer proteins	PITPN
